样本ID,余数编号,数量下限,数量上限,规格下限,规格上限,定额单位,镀种大类,余数,领进数量,报工数量,计划数量(不含余数),实际损耗,是否进入分析
S00001,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,10.758578,10.553292,9.632755,0.205286,是
S00002,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.745241,4.317393,4.378511,0.427848,是
S00003,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.514504,2.024032,2.246348,0.490473,是
S00004,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.097038,6.386398,6.184677,0.710641,是
S00005,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.047945,3.605195,3.378449,0.44275,是
S00006,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.833081,7.615921,9.051682,0.21716,是
S00007,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.492369,2.015732,2.803369,0.476637,是
S00008,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.290431,5.823217,8.695387,0.467214,是
S00009,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.920378,2.28927,2.68615,0.631107,是
S00010,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,5.533196,4.989418,7.297236,0.543779,是
S00011,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,5.6155,5.001618,5.052969,0.613882,是
S00012,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,1.677236,1.226759,1.188037,0.450476,是
S00013,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.732834,3.946128,4.265002,0.786706,是
S00014,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.009835,1.275207,0.103447,0.734628,是
S00015,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.980645,3.530551,4.326786,0.450094,是
S00016,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.094118,1.582619,0.188257,0.511499,是
S00017,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.689909,6.000804,8.650537,0.689104,是
S00018,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.370736,1.78146,1.237185,0.589276,是
S00019,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,1.960801,1.327984,0.59869,0.632816,是
S00020,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.360939,2.165492,3.322316,0.195447,是
S00021,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,5.404472,4.400726,6.615363,1.003746,是
S00022,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.502154,6.447699,7.652888,1.054455,是
S00023,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.110418,6.456473,7.03407,0.653945,是
