余数编号,数量区间,规格区间,定额单位,镀种大类,样本量,父组样本量,父组系统余数均值,父组P90值,父组P95值,分位值来源,当前覆盖率,当前正向多余余数,P90值,P90覆盖率,P90预计减少比例,P95值,P95覆盖率,P95预计减少比例,调整判断,判断来源,优先级得分,优先级,指标名称,displayed,excluded,p99,max,图表编号
R01,0-10,0-20,数量,类型A,72,123,2.8,1.4228933999999998,1.8368465999999983,子组,1.0,164.901781,0.8127468999999999,0.8888888888888888,0.861259487549137,0.9486319000000001,0.9444444444444444,0.8068256934107946,下调,镀种子组独立判断,91.3,A-优先,实际损耗（百粒）,71,1,1.0369094800000003,1.054455,N0001
R01,10.01-30,0-20,数量,类型A,70,132,4.5,2.8213705,3.359062499999997,子组,1.0,225.840344,1.9927991,0.9,0.7704439234293763,2.0895015,0.9428571428571428,0.7430394765959087,下调,镀种子组独立判断,91.1,A-优先,实际损耗（百粒）,69,1,2.451380140000001,2.744074,N0002
R02,30.01-80,20.01-50,百分比,类型A,65,118,4.200000051685641,3.227307283247949,3.5500188100543877,子组,1.0,96.03281700000001,2.278731772296983,0.8923076923076924,0.7118534511698928,2.41216648822085,0.9384615384615385,0.6667020556546143,下调,镀种子组独立判断,90.7,A-优先,实际损耗率（%）,64,1,2.5526210270634637,2.6527796987925476,N0003
R03,80.01-200,0-99999,百分比,类型A,58,105,2.0000000080405727,3.7687963291483224,4.202844136330159,子组,0.3275862068965517,12.76581,3.4310211862389424,0.896551724137931,-5.917086803782449,3.5646985334274186,0.9482758620689655,-6.718345580200326,上调,镀种子组独立判断,90.0,A-优先,实际损耗率（%）,57,1,4.097691829327583,4.369903165397323,N0004
R03,80.01-200,0-99999,百分比,类型B,34,105,2.0000000080405727,3.7687963291483224,4.202844136330159,子组,0.17647058823529413,2.1075149999999994,4.4757885792641305,0.8823529411764706,-29.670407121422905,4.617751460889186,0.9411764705882353,-32.48560752739273,上调,镀种子组独立判断,86.8,A-优先,实际损耗率（%）,33,1,5.670662257624606,6.168961854924124,N0005
R01,0-10,0-20,数量,类型B,36,123,2.8,1.4228933999999998,1.8368465999999983,子组,1.0,56.49364500000001,1.9034365,0.8888888888888888,0.5583324283642879,2.0873835,0.9444444444444444,0.4507429995002094,下调,镀种子组独立判断,78.4,A-优先,实际损耗（百粒）,35,1,2.1940783,2.221274,N0006
R01,10.01-30,0-20,数量,类型B,41,132,4.5,2.8213705,3.359062499999997,子组,0.975609756097561,87.65540700000001,3.489407,0.9024390243902439,0.44538634108446973,3.837132,0.9512195121951219,0.29719028057219565,下调,镀种子组独立判断,56.9,B-较高,实际损耗（百粒）,40,1,4.690842600000001,4.950393,N0007
R02,30.01-80,20.01-50,百分比,类型B,38,118,4.200000051685641,3.227307283247949,3.5500188100543877,子组,0.9736842105263158,28.039436,3.6386704974611104,0.8947368421052632,0.3999821892395226,3.933726191927079,0.9473684210526315,0.19683991848368668,下调,镀种子组独立判断,39.9,C-一般,实际损耗率（%）,37,1,4.401707619665336,4.644298401470145,N0008
R01,0-10,0-20,数量,类型C,15,123,2.8,1.4228933999999998,1.8368465999999983,父组,1.0,30.642353999999997,1.4228933999999998,0.9333333333333333,0.6733575494885283,1.8368465999999983,1.0,0.47148143383501234,维持,样本不足_维持现状,0.0,观察,实际损耗（百粒）,14,1,1.43605554,1.446232,N0009
R01,10.01-30,0-20,数量,类型C,21,132,4.5,2.8213705,3.359062499999997,父组,1.0,58.54749900000001,2.8213705,0.8571428571428571,0.5694751709206229,3.359062499999997,0.9047619047619048,0.40038327683305586,维持,样本不足_维持现状,0.0,观察,实际损耗（百粒）,20,1,3.6951584,3.746473,N0010
R02,30.01-80,20.01-50,百分比,类型C,15,118,4.200000051685641,3.227307283247949,3.5500188100543877,父组,1.0,16.095322,3.227307283247949,0.8666666666666667,0.47613763368294926,3.5500188100543877,0.9333333333333333,0.3248277543779662,维持,样本不足_维持现状,0.0,观察,实际损耗率（%）,14,1,3.6841767152192446,3.7443383566255477,N0011
R03,80.01-200,0-99999,百分比,类型C,13,105,2.0000000080405727,3.7687963291483224,4.202844136330159,父组,0.3076923076923077,4.998233999999999,3.7687963291483224,1.0,-4.083696786027417,4.202844136330159,1.0,-5.621333469158882,维持,样本不足_维持现状,0.0,观察,实际损耗率（%）,12,1,3.524421211581175,3.5471470748698324,N0012
